Transaction_ID,Date,Subsidiary,Sector,User_ID,Allocated_Budget,Spent_Amount,Remaining_Budget,Revenue_Generated,Transaction_Type
T2545,2024-01-24,Branch C,R&D,U013,43284.69,4131.47,39153.22,31927.49,Operational Cost
T6872,2024-01-13,Branch C,Marketing,U002,35152.34,12788.21,22364.129999999997,0.0,Operational Cost
T4081,2024-03-15,Branch C,HR,U017,21337.25,27446.97,-6109.720000000001,18437.49,Investment
T6061,2024-01-22,Branch C,Operations,U015,37073.57,17213.99,19859.579999999998,0.0,Expense
T4140,2024-03-29,Branch C,IT,U007,48734.28,20617.29,28116.989999999998,0.0,Investment
T2789,2024-01-03,Branch A,Operations,U015,45101.49,4262.45,40839.04,70152.39,Salary Payment
T6955,2024-01-11,Branch A,IT,U005,31061.62,10144.75,20916.87,48207.77,Expense
T4537,2024-02-24,Branch A,R&D,U006,15682.56,20489.58,-4807.020000000002,0.0,Investment
T8140,2024-03-05,Branch A,R&D,U018,35321.34,24954.02,10367.319999999996,0.0,Expense
T9994,2024-01-29,Branch C,R&D,U010,15502.32,12440.39,3061.9300000000003,0.0,Salary Payment
T8295,2024-03-17,Branch C,R&D,U010,41682.91,9546.98,32135.930000000004,28594.12,Operational Cost
T7871,2024-01-13,Branch A,IT,U002,44393.7,36500.47,7893.229999999996,0.0,Salary Payment
T2849,2024-02-16,Branch C,Marketing,U011,26987.5,1129.58,25857.92,0.0,Operational Cost
T4113,2024-03-29,Branch C,R&D,U003,19213.66,23601.02,-4387.360000000001,0.0,Operational Cost
T6301,2024-01-17,Branch A,Marketing,U005,47759.57,2917.16,44842.41,13205.19,Salary Payment
T5047,2024-01-06,Branch A,Operations,U005,39424.37,33610.03,5814.340000000004,0.0,Salary Payment
T6616,2024-01-02,Branch A,Marketing,U018,26855.16,27793.48,-938.3199999999997,0.0,Investment
T5241,2024-03-11,Branch B,HR,U019,28830.03,30170.67,-1340.6399999999994,0.0,Expense
T4082,2024-02-17,Branch A,IT,U008,45693.15,17269.3,28423.850000000002,71099.17,Operational Cost
T2076,2024-01-10,Branch A,IT,U016,5575.35,21568.11,-15992.76,42468.71,Expense
T2812,2024-01-18,Branch C,HR,U004,42589.02,23089.26,19499.76,0.0,Salary Payment
T4601,2024-01-24,Branch B,Marketing,U010,10971.24,17794.17,-6822.9299999999985,0.0,Expense
T4521,2024-02-02,Branch C,Marketing,U013,39996.17,20453.26,19542.91,0.0,Investment
T3385,2024-02-19,Branch A,Operations,U010,14751.74,38895.42,-24143.68,48744.06,Investment
T9088,2024-01-08,Branch A,R&D,U006,33652.98,31229.7,2423.2800000000025,35578.19,Expense
T9292,2024-01-22,Branch C,Operations,U011,22673.09,2159.34,20513.75,79255.19,Salary Payment
T5406,2024-01-10,Branch A,R&D,U015,10024.43,25250.11,-15225.68,0.0,Operational Cost
T1949,2024-03-30,Branch C,IT,U012,34922.17,33585.8,1336.3699999999953,0.0,Operational Cost
T7203,2024-01-06,Branch B,R&D,U002,9812.69,1571.2,8241.49,77961.52,Investment
